TT		  PID		  AT		  CT		  IO_D		  WT		RT			TRT
9		  1		  6		  2		  2		  1		0			 3
10		  71		  7		  2		  0		  1		0			 3
10		  72		  8		  1		  0		  1		0			 2
14		  2		  7		  6		  2		  1		0			 7
14		  3		  9		  4		  1		  1		0			 5
15		  83		  14		  0		  0		  1		0			 1
15		  73		  8		  6		  0		  1		0			 7
15		  74		  9		  5		  0		  1		0			 6
15		  75		  10		  4		  0		  1		0			 5
15		  76		  10		  4		  0		  1		0			 5
15		  77		  11		  3		  0		  1		0			 4
15		  78		  11		  3		  0		  1		0			 4
15		  79		  12		  2		  0		  1		0			 3
15		  80		  12		  2		  0		  1		0			 3
15		  5		  13		  1		  0		  1		0			 2
16		  84		  14		  0		  0		  2		0			 2
16		  81		  13		  1		  0		  2		1			 3
21		  4		  11		  9		  1		  1		0			 10
22		  89		  19		  2		  0		  1		0			 3
22		  90		  20		  1		  0		  1		0			 2
22		  87		  17		  4		  0		  1		0			 5
22		  88		  18		  3		  0		  1		0			 4
23		  82		  13		  8		  0		  2		1			 10
23		  86		  16		  5		  0		  2		1			 7
23		  91		  21		  0		  0		  2		1			 2
23		  8		  19		  3		  0		  1		0			 4
24		  85		  14		  7		  0		  3		0			 10
24		  11		  20		  3		  0		  1		0			 4
24		  13		  21		  2		  0		  1		0			 3
25		  7		  17		  7		  0		  1		0			 8
25		  15		  23		  1		  0		  1		0			 2
26		  6		  15		  10		  0		  1		0			 11
26		  10		  20		  5		  0		  1		0			 6
28		  14		  23		  4		  0		  1		0			 5
28		  16		  25		  2		  0		  1		0			 3
29		  9		  19		  9		  0		  1		0			 10
32		  19		  28		  2		  0		  2		1			 4
32		  12		  21		  10		  0		  1		0			 11
36		  18		  26		  8		  0		  2		0			 10
37		  24		  33		  2		  0		  2		1			 4
37		  17		  26		  10		  0		  1		0			 11
38		  20		  28		  8		  0		  2		0			 10
38		  23		  31		  5		  0		  2		0			 7
39		  22		  29		  8		  0		  2		0			 10
41		  21		  29		  10		  0		  2		0			 12
44		  29		  38		  4		  0		  2		1			 6
44		  26		  36		  6		  0		  2		0			 8
45		  27		  37		  6		  0		  2		0			 8
46		  30		  39		  5		  0		  2		0			 7
47		  25		  35		  10		  0		  2		0			 12
47		  31		  40		  5		  0		  2		0			 7
48		  28		  37		  9		  0		  2		0			 11
51		  35		  46		  4		  0		  1		0			 5
52		  92		  47		  4		  0		  1		0			 5
52		  95		  49		  2		  0		  1		0			 3
52		  37		  49		  1		  0		  2		1			 3
53		  99		  51		  0		  0		  2		1			 2
53		  97		  50		  1		  0		  2		1			 3
53		  93		  48		  3		  0		  2		1			 5
54		  32		  42		  10		  0		  2		0			 12
54		  33		  44		  8		  0		  2		0			 10
55		  34		  46		  8		  2		  1		0			 9
55		  36		  47		  7		  0		  1		0			 8
56		  104		  54		  1		  0		  1		0			 2
56		  94		  48		  7		  0		  1		0			 8
56		  105		  55		  0		  0		  1		0			 1
56		  98		  50		  5		  0		  1		0			 6
56		  102		  53		  2		  0		  1		0			 3
57		  96		  50		  5		  0		  2		1			 7
57		  101		  52		  3		  0		  2		0			 5
57		  103		  53		  2		  0		  2		1			 4
58		  100		  51		  4		  0		  3		0			 7
58		  41		  55		  1		  0		  2		1			 3
61		  38		  51		  8		  0		  2		0			 10
62		  39		  52		  8		  0		  2		0			 10
64		  42		  55		  7		  0		  2		0			 9
